"","UNITID","inst","X","INSTNM","IALIAS","ADDR","CITY","STABBR","ZIP","FIPS","OBEREG","CHFNM","CHFTITLE","GENTELE","EIN","DUNS","OPEID","OPEFLAG","WEBADDR","ADMINURL","FAIDURL","APPLURL","NPRICURL","VETURL","ATHURL","DISAURL","SECTOR","ICLEVEL","CONTROL","HLOFFER","ENRLW","XENRLFT","ENRLFT","XENRLFTM","XCSUNKNM","CSUNKNM","XCSUNKNW","CSUNKNW","XCSNRALT","CSNRALT","XCSNRALM","CSNRALM","XCSNRALW","CSNRALW","infections","city","sector","EFFYLEV","EFYTOTLT","infectionsPerEnroll","INSTNM2","label1"
"55",214768,"Penn State U. Hazleton",1321,"Pennsylvania State University-Penn State Hazleton","Penn State","76 University Drive","Hazleton","PA","18202-8025",42,2,"Dr. Gary M. Lawler","Chancellor",5704503000,246000376,"3403953",332909,1,"hazleton.psu.edu/","admissions.psu.edu/","studentaid.psu.edu/","admissions.psu.edu/apply/","tuition.psu.edu/CostEstimate.aspx","studentaid.psu.edu/veterans","www.ncaa.org","equity.psu.edu/student-disability-resources","Public",1,1,6,128,"R",302,"R","R",0,"R",2,"R",0,"R",0,"R",0,2,"Hazleton","Public",1,760,0.003,"Pennsylvania State U-Penn State Hazleton",NA
"56",214795,"Penn State U. Mont Alto",1324,"Pennsylvania State University-Penn State Mont Alto","Penn State","1 Campus Drive","Mont Alto","PA","17237-9700",42,2,"Dr. Francis K. Achampong","Chancellor",7177496000,246000376,"3403953",332911,1,"montalto.psu.edu/","admissions.psu.edu/","studentaid.psu.edu/","admissions.psu.edu/apply/","tuition.psu.edu/CostEstimate.aspx","studentaid.psu.edu/veterans","www.ncaa.org","equity.psu.edu/student-disability-resources","Public",1,1,5,137,"R",263,"R","R",0,"R",0,"R",0,"R",0,"R",0,4,"Mont Alto","Public",1,924,0.004,"Pennsylvania State U-Penn State Mont Alto",NA
"57",214801,"Penn State U. Abington",1325,"Pennsylvania State University-Penn State Abington","Penn State","1600 Woodland Road","Abington","PA","19001-3918",42,2,"Dr. Damian J. Fernandez","Chancellor",2158817300,246000376,"3403953",332913,1,"abington.psu.edu/","admissions.psu.edu/","studentaid.psu.edu/","admissions.psu.edu/apply/","tuition.psu.edu/CostEstimate.aspx","studentaid.psu.edu/veterans","www.ncaa.org","equity.psu.edu/student-disability-resources","Public",1,1,6,408,"R",877,"R","R",5,"R",32,"R",6,"R",3,"R",3,5,"Abington","Public",1,4379,0.001,"Pennsylvania State U-Penn State Abington",NA
"58",214810,"Penn State U. Schuylkill",1326,"Pennsylvania State University-Penn State Schuylkill","Penn State","200 University Drive","Schuylkill Haven","PA","17972-2202",42,2,"Dr. Kelly M. Austin","Chancellor",5703856000,246000376,"3403953",332914,1,"schuylkill.psu.edu/","admissions.psu.edu/","studentaid.psu.edu/","admissions.psu.edu/apply/","tuition.psu.edu/CostEstimate.aspx","studentaid.psu.edu/veterans","www.ncaa.org","equity.psu.edu/student-disability-resources","Public",1,1,5,109,"R",202,"R","R",0,"R",2,"R",0,"R",0,"R",0,3,"Schuylkill Haven","Public",1,698,0.004,"Pennsylvania State U-Penn State Schuylkill",NA
"59",215062,"U. of Penna.",1331,"University of Pennsylvania","Penn, U of PA, U-Penn, U of P, Pennsylvania, UPenn, Pennsylvania University, University of Pennsylvania, Wharton, Wharton School of Business","34th & Spruce Street","Philadelphia","PA","19104-6303",42,2,"Amy Gutmann","President",2158985000,231352685,"42250712",337800,1,"www.upenn.edu","www.upenn.edu/admissions/","www.sfs.upenn.edu/","www.admissions.upenn.edu/apply/","https://npc.collegeboard.org/student/app/upenn","www.upenn.edu/registrar/veterans/index.html","provost.upenn.edu/policies/pennbook/2013/02/14/university-of-pennsylvania-required-disclosures-1","www.vpul.upenn.edu/lrc/sds/","Private",1,2,9,1286,"R",2491,"R","R",73,"R",89,"R",1633,"R",822,"R",811,660,"Philadelphia","Private",1,29813,0.022,"U of Pennsylvania",NA
"60",215132,"U. of the Sciences",1335,"University of the Sciences","USciences","600 South 43rd Street","Philadelphia","PA","19104-4495",42,2,"Dr. Paul Katz","President",2155968800,231352668,"79497681",335300,1,"www.usciences.edu","www.usciences.edu/applying/","www.usciences.edu/financialaid/","www.usciences.edu/applying/","www.usciences.edu/heoa.shtml","www.usciences.edu/applying/financialaid/yellowribbon.aspx","www.usciences.edu/heoa.shtml","www.usciences.edu/dss/","Private",1,2,9,196,"R",316,"R","R",38,"R",55,"R",28,"R",9,"R",19,24,"Philadelphia","Private",1,2422,0.01,"U of the Sciences",NA
"61",215442,"Point Park U.",1342,"Point Park University",NA,"201 Wood St","Pittsburgh","PA","15222-1984",42,2,"Paul Hennigan","President",4123914100,251094922,"68732718",335700,1,"www.pointpark.edu","www.pointpark.edu/Admissions","www.pointpark.edu/Admissions/CostsandFinancialAid","https://pointweb.pointpark.edu/ics/Admissions/","www.pointpark.edu/Admissions/CostsandFinancialAid/NetPriceCalc",NA,"www.pointpark.edu/About/AdminDepts/InstitutionalResearch/HEOACompliance","www.pointpark.edu/Academics/AcademicResources/DisabilityServices","Private",1,2,9,397,"R",606,"R","R",0,"R",3,"R",58,"R",32,"R",26,26,"Pittsburgh",NA,1,4981,0.005,"Point Park U",NA
"62",215655,"Robert Morris U.",1345,"Robert Morris University",NA,"6001 University Boulevard","Moon Township","PA","15108-1189",42,2,"Dr. Christopher Howard","President",8007620097,251120678,"44304152",335900,1,"www.rmu.edu","www.rmu.edu","www.rmu.edu","www.rmu.edu","www.rmu.edu/Undergraduate/Admissions/NetPriceCalculator/FreshmenCalculator","www.rmu.edu/MilitaryVeterans/VETSCenter","fs.ncaa.org/Docs/newmedia/public/rates/index5.html","studentlife.rmu.edu/center-for-student-success/services-for-students-with-disabilities","Private",1,2,9,374,"R",880,"R","R",25,"R",21,"R",154,"R",125,"R",29,24,"Moon Township",NA,1,5514,0.004,"Robert Morris U",NA
"63",215691,"Rosemont College",1346,"Rosemont College",NA,"1400 Montgomery Ave","Rosemont","PA","19010-1699",42,2,"Sharon Latchaw Hirsh, Ph.D.","President",6105270200,231365966,"73746976",336000,1,"www.rosemont.edu","www.rosemont.edu/admissions/undergraduate/index.php","www.rosemont.edu/admissions/tuition-and-aid/financial-aid/index.php","https://iway.rosemont.edu/ics/Admissions/Admissions.jnz?portlet=Apply_For_Admissions","www.rosemont.edu/admissions/tuition-and-aid/cost-of-attendance/net-price-calculator.php","www.rosemont.edu/academics/registrar/va_benefits.php",NA,"www.rosemont.edu/campus-life/dean-of-students/disability.php","Private",1,2,7,97,"R",158,"R","R",0,"R",11,"R",9,"R",1,"R",8,7,"Rosemont","Private",1,1173,0.006,"Rosemont College",NA
"64",215743,"Saint Francis U.",1347,"Saint Francis University",NA,"117 Evergreen Dr","Loretto","PA","15940",42,2,"Rev. Malachi Van Tassell, T.O.R.","President",8144723000,251024358,NA,336600,1,"www.francis.edu","www.francis.edu/Admissions/","www.francis.edu/financial-aid/","www.francis.edu/apply-now/","www.francis.edu/tuition-calculator","francis.edu/military/","francis.edu/facts-and-stats/","www.francis.edu/Disability-Services/","Private",1,2,9,224,"R",355,"R","R",15,"R",47,"R",6,"R",5,"R",1,30,"Loretto","Private",1,3670,0.008,"Saint Francis U",NA
"65",215770,"Saint Joseph's U.",1348,"Saint Joseph's University",NA,"5600 City Avenue","Philadelphia","PA","19131-1395",42,2,"Mark C. Reed, Ed.D.","President",6106601000,231352674,"75495937",336700,1,"www.sju.edu","www.sju.edu/majors-programs/apply-online","www.sju.edu/int/resources/srfs/","www.sju.edu/majors-programs/apply-online","www.collegecostcalculator.org/sju","www.sju.edu/information/veterans","www.sju.edu/int/resources/ir/enrollstudent.html","www.sju.edu/int/studentlife/studentresources/thesuccesscenter/ssd/","Private",1,2,9,681,"R",1265,"R","R",32,"R",68,"R",186,"R",101,"R",85,278,"Philadelphia","Private",1,8805,0.032,"Saint Joseph's U",NA
"66",215798,"Saint Vincent College",1349,"Saint Vincent College",NA,"300 Fraser Purchase Rd","Latrobe","PA","15650-2690",42,2,"Norman Hipps O.S.B.","President",7245399761,250964126,"74956525",336800,1,"www.stvincent.edu","www.stvincent.edu/admission","www.stvincent.edu/Admission_and_Aid/Admissions_and_Aid/","https://www.svconlineapp.com/saintvincent/form8/form_login.html","https://stvincent.studentaidcalculator.com/survey.aspx","www.stvincent.edu/veterans/","www.stvincent.edu/Explore_SVC/General_Information/Institutional_Research/","www.stvincent.edu/Majors_and_Programs/Academic_Support/Disability_Support/","Private",1,2,9,177,"R",391,"R","R",13,"R",21,"R",5,"R",3,"R",2,10,"Latrobe","Private",1,1989,0.005,"Saint Vincent College",NA
"67",215929,"U. of Scranton",1350,"University of Scranton",NA,"800 Linden Street","Scranton","PA","18510-4629",42,2,"Kevin P. Quinn, S.J., J.D., Ph.D.","President",5709417400,240795495,"79177978",338400,1,"www.scranton.edu","admissions.scranton.edu/","www.scranton.edu/financial-aid/","admissions.scranton.edu/apply/index.shtml","https://www.aidcalc.com/scranton/","www.scranton.edu/academics/registrar/veterans-info.shtml","www.scranton.edu/pir/institutional-research/heoa/index.shtml","www.scranton.edu/academics/ctle/disabilities/index.shtml","Private",1,2,9,573,"R",1011,"R","R",15,"R",24,"R",34,"R",27,"R",7,620,"Scranton","Private",1,5922,0.105,"U of Scranton","U. of Scranton; Rate=0.105"
"68",215947,"Seton Hill U.",1351,"Seton Hill University",NA,"1 Seton Hill Drive","Greensburg","PA","15601",42,2,"Mary Finger","President",7248342200,250965557,"68721299",336200,1,"www.setonhill.edu","www.setonhill.edu/admissions","www.setonhill.edu/admissions/tuition_and_financial_aid","https://www.setonhill.edu/apply","www.setonhill.edu/npc/",NA,"www.setonhill.edu/consumer-information/","www.setonhill.edu/campus-life/health-safety/disability-services/","Private",1,2,7,254,"R",365,"R","R",1,"R",3,"R",15,"R",9,"R",6,59,"Greensburg","Private",1,3787,0.016,"Seton Hill U",NA
"69",216010,"Shippensburg U. of Penna.",1354,"Shippensburg University of Pennsylvania","Shippensburg","1871 Old Main Drive","Shippensburg","PA","17257-2299",42,2,"Dr. George  Jody  F. Harpster","President",7174777447,232500361,"796901361",332600,1,"www.ship.edu/","www.ship.edu/admissions/","www.ship.edu/finaid","www.ship.edu/admissions/apply/","www.passhe.edu/answers/Calculator/SH/npcalc-216010.htm","www.ship.edu/veterans/","www.ship.edu/Right-To-Know/","www.ship.edu/ODS/","Public",1,1,9,710,"R",1378,"R","R",18,"R",17,"R",41,"R",24,"R",17,82,"Shippensburg",NA,1,7138,0.011,"Shippensburg U of Pennsylvania",NA
"70",216038,"Slippery Rock U. of Penna.",1355,"Slippery Rock University of Pennsylvania",NA,"1 Morrow Way","Slippery Rock","PA","16057-1383",42,2,"Dr. Cheryl J. Norton","President",7247389000,251513539,"74955113",332700,1,"www.sru.edu","www.sru.edu/admissions","www.sru.edu/admissions/financial-aid","www.sru.edu/admissions/apply-now","www.passhe.edu/answers/Calculator/SL/npcalc-216038.htm","www.sru.edu/veterans","sru.edu/students/student-consumer-information","www.sru.edu/academics/academic-services/services-for-students-with-disabilities","Public",1,1,9,913,"R",1564,"R","R",17,"R",20,"R",12,"R",6,"R",6,206,"Slippery Rock",NA,1,10366,0.02,"Slippery Rock U of Pennsylvania",NA
"71",216278,"Susquehanna U.",1358,"Susquehanna University","Susquahanna|Susquehana|Sesquehanna","514 University Ave","Selinsgrove","PA","17870-1025",42,2,"L. Jay Lemons","President",5703740101,231353385,"69790426",336900,1,"www.susqu.edu","www.susqu.edu/admission-and-aid#undefined","www.susqu.edu/admission-and-aid/tuition-and-financial-aid","www.susqu.edu/admission-and-aid/apply","www.susqu.edu/admission-and-aid/tuition-and-financial-aid/net-price-calculator",NA,NA,"www.susqu.edu/academics/academic-resources/disability-services","Private",1,2,5,361,"R",637,"R","Z",0,"R",1,"R",6,"R",4,"R",2,14,"Selinsgrove","Private",1,2473,0.006,"Susquehanna U",NA
"72",216287,"Swarthmore College",1359,"Swarthmore College","Swat","500 College Ave","Swarthmore","PA","19081",42,2,"Valerie Smith","President",6103288000,231352683,"73755381",337000,1,"www.swarthmore.edu","www.swarthmore.edu/admissions-aid","www.swarthmore.edu/admissions-aid/financial-aid-and-cost-information","www.swarthmore.edu/admissions-aid/apply-to-swarthmore","www.swarthmore.edu/admissions-and-aid/financial-aid-and-cost-information/prospective-students/net-price-calculator.xml",NA,"www.swarthmore.edu/college-catalog/educational-program","www.swarthmore.edu/academic-advising-support/welcome-to-student-disability-service","Private",1,2,5,220,"R",415,"R","R",8,"R",5,"R",33,"R",20,"R",13,24,"Swarthmore","Private",1,1660,0.014,"Swarthmore College",NA
"73",216339,"Temple U.",1362,"Temple University",NA,"1801 North Broad Street","Philadelphia","PA","19122-6096",42,2,"Richard M. Englert","Acting President",2152047000,231365971,"57123192",337100,1,"www.temple.edu","www.temple.edu/admissions","sfs.temple.edu","www.temple.edu/apply","https://npc.collegeboard.org/student/app/temple","www.temple.edu/veterans/applying/pa-act-11.asp","https://www.ncaa.org/about/resources/research/graduation-success-rate","disabilityresources.temple.edu","Public",1,1,9,2850,"R",5143,"R","R",281,"R",274,"R",678,"R",313,"R",365,711,"Philadelphia",NA,1,43154,0.016,"Temple U",NA
"74",216357,"Thiel College",1363,"Thiel College",NA,"75 College Ave","Greenville","PA","16125-2181",42,2,"Susan Traverso, Ph. D.","President",7245892000,250965576,"4500732",337600,1,"www.thiel.edu","www.thiel.edu/admissions/index.htm","www.thiel.edu/financialaid/index.htm","www.thiel.edu/admissions/apply-online","www.thiel.edu/finaid","www.thiel.edu",NA,"www.thiel.edu/campus_life/campus-resources/disability-services","Private",1,2,5,100,"R",277,"R","R",4,"R",5,"Z",0,"Z",0,"Z",0,39,"Greenville","Private",1,783,0.05,"Thiel College","Thiel College; Rate=0.05"
"75",216524,"Ursinus College",1364,"Ursinus College",NA,"601 E. Main St","Collegeville","PA","19426-1000",42,2,"Brock Blomberg","President",6104093000,231177930,"69889996",338500,1,"www.ursinus.edu","www.ursinus.edu/admission","www.ursinus.edu/offices/scholarships-and-financial-aid/","www.ursinus.edu/admission/applying/","www.ursinus.edu/offices/scholarships-and-financial-aid/tuition-and-cost/net-price-calculator/",NA,NA,"www.ursinus.edu/offices/center-for-academic-support/students-with-disabilities/","Private",1,2,5,200,"R",382,"R","R",3,"R",5,"R",5,"R",1,"R",4,21,"Collegeville","Private",1,1472,0.014,"Ursinus College",NA
"76",216542,"U. of Valley Forge",1365,"University of Valley Forge","VFCC; UVF","1401 Charlestown Road","Phoenixville","PA","19460-2373",42,2,"Byron Klaus, Ph.D.","Interim President",6109170450,231382408,"70276225",330600,1,"www.valleyforge.edu","www.valleyforge.edu/admissions","www.valleyforge.edu/financial-aid","https://www.valleyforge.edu/admissions/apply-online","https://vfcc.studentaidcalculator.com/survey.aspx","valleyforge.edu/admissions/special-information-for-valley-forge-christian-college",NA,"www.valleyforge.edu/campus-life/disability-services","Private",1,2,7,84,"R",143,"R","R",9,"R",5,"Z",0,"Z",0,"Z",0,2,"Phoenixville",NA,1,792,0.003,"U of Valley Forge",NA
"77",216597,"Villanova U.",1367,"Villanova University",NA,"800 Lancaster Avenue","Villanova","PA","19085-1699",42,2,"Peter M. Donohue, O.S.A.","President",6105194500,231352688,"71618789",338800,1,"www.villanova.edu","www1.villanova.edu/villanova/admission.html","www1.villanova.edu/villanova/enroll/finaid.html","www1.villanova.edu/villanova/admission/overview.html","https://npc.collegeboard.org/student/app/villanova","www1.villanova.edu/villanova/enroll/registrar/veterans.html","www1.villanova.edu/villanova/enroll/registrar/graduation_diploma.html","www1.villanova.edu/villanova/studentlife/disabilityservices.html","Private",1,2,9,906,"R",1677,"R","R",68,"R",70,"R",143,"R",67,"R",76,252,"Villanova","Private",1,12719,0.02,"Villanova U",NA
"78",216667,"Washington & Jefferson College",1368,"Washington & Jefferson College","W&J|Washington & Jefferson College","60 S Lincoln St","Washington","PA","15301",42,2,"Dr. Tori Haring-Smith","President",7245031001,250965601,"74964016",338900,1,"www.washjeff.edu","www.washjeff.edu/future-students","www.washjeff.edu/financial-aid","https://www.washjeffapp.org/web1/apply.htm?&isndsl","www.washjeff.edu/net-price-calculator-1","www.washjeff.edu/military-benefits",NA,"wiki.washjeff.edu/display/disabilitysupport/Disability+Support+Services","Private",1,2,7,211,"R",429,"R","R",3,"R",2,"R",5,"R",4,"R",1,3,"Washington","Private",1,1415,0.002,"Washington & Jefferson College",NA
"79",216694,"Waynesburg U.",1369,"Waynesburg University","Waynesburg College","51 W College St","Waynesburg","PA","15370-1257",42,2,"Doug Lee","President",7246278191,250965603,"77480788",339100,1,"www.waynesburg.edu","https://www.waynesburg.edu/undergraduate/admissions","https://www.waynesburg.edu/financial-aid","www.waynesburg.edu/apply-now","https://www.waynesburg.edu/mycost","www.waynesburg.edu/financial-aid/veterans-education-benefits","www.waynesburg.edu/student-right-to-know","www.waynesburg.edu/undergraduate/academic-resources/academic-support/center-for-student-success","Private",1,2,9,231,"R",401,"R","R",1,"R",1,"Z",0,"Z",0,"Z",0,18,"Waynesburg",NA,1,1884,0.01,"Waynesburg U",NA
"80",216807,"Westminster College",1372,"Westminster College",NA,"319 South Market  Street","New Wilmington","PA","16172",42,2,"Kathy Brittain Richardson","President",7249468761,250981156,"74953514",339200,1,"www.westminster.edu","www.westminster.edu/admissions","www.westminster.edu/admissions/financial-aid/index.cfm","www.westminster.edu/admissions/apply.cfm","www.westminster.edu/admissions/financial-aid/101.cfm","www.westminster.edu/admissions/financial-aid/101.cfm","www.westminster.edu/about/student-right-to-know.cfm","www.westminster.edu/campus/services/disability-resources.cfm","Private",1,2,7,172,"R",366,"R","R",15,"R",19,"R",0,"R",0,"R",0,16,"New Wilmington","Private",1,1366,0.012,"Westminster College",NA
"81",216852,"Widener U.",1373,"Widener University",NA,"One University Place","Chester","PA","19013-5792",42,2,"Julie E. Wollman","President",6104994000,231386178,"46566303",331300,1,"www.widener.edu","www.widener.edu/admissions/","www.widener.edu/about/widener_leadership/administrative/enrollment/financial/default.aspx","www.widener.edu/admissions/undergraduate/how_to_apply/default.aspx","www.widener.edu/admissions/undergraduate/admitted/financing_education.aspx","www.widener.edu/about/widener_leadership/administrative/enrollment/veterans.aspx",NA,"www.widener.edu/academics/support/disabilities/default.aspx","Private",1,2,9,414,"R",728,"R","R",15,"R",31,"R",107,"R",71,"R",36,36,"Chester","Private",1,7471,0.005,"Widener U",NA
"82",216931,"Wilkes U.",1374,"Wilkes University","Wilkes","84 West South Street","Wilkes-Barre","PA","18766",42,2,"Patrick F. Leahy","President",5704085000,240795506,"79158531",339400,1,"www.wilkes.edu","www.wilkes.edu/admissions/index.aspx","www.wilkes.edu/admissions/financial-aid/index.aspx","www.wilkes.edu/admissions/apply-undergraduate.aspx","www.wilkes.edu/admissions/financial-aid/undergraduate-aid/types-of-aid/net-price-calculator/index.aspx","www.wilkes.edu/academics/office-of-the-registrar-recorder/veterans-services/invest.aspx",NA,"www.wilkes.edu/academics/colleges/university-college/disability-support-services-dss/","Private",1,2,9,318,"R",659,"R","R",18,"R",30,"R",85,"R",71,"R",14,41,"Wilkes-Barre","Private",1,6978,0.006,"Wilkes U",NA
